stop_loss_pct,take_profit_pct,win_rate,avg_profit,total_profit,max_profit,max_loss,stop_loss_hit_rate,take_profit_hit_rate,hold_rate,avg_bars_held,n_tests
-9.5,27.0,48.8,4.941367100068646,4941.367100068646,26.736500000000035,-9.745250000000004,36.1,30.5,33.4,361.515,1000
-8.5,27.5,47.8,4.935369606436333,4935.369606436333,27.23625000000002,-8.745750000000005,40.400000000000006,29.299999999999997,30.3,345.877,1000
-10.0,26.0,49.5,4.908641756610575,4908.641756610576,25.737000000000027,-10.245000000000008,33.5,32.0,34.5,363.999,1000
-7.5,29.5,44.800000000000004,4.86799467613284,4867.99467613284,29.235250000000025,-7.746250000000007,45.6,26.6,27.800000000000004,329.472,1000
-9.0,27.0,48.3,4.864023238730409,4864.0232387304095,26.736500000000035,-9.245500000000003,38.3,30.0,31.7,351.935,1000
-9.5,26.5,48.8,4.851692633997976,4851.6926339979755,26.236750000000043,-9.745250000000004,36.1,30.9,33.0,358.619,1000
-8.0,28.5,46.300000000000004,4.844249286510911,4844.249286510911,28.23575000000002,-8.246000000000006,43.3,27.800000000000004,28.9,336.707,1000
-10.0,25.5,49.5,4.835867867015595,4835.867867015595,25.237250000000024,-10.245000000000008,33.5,32.5,34.0,359.583,1000
-8.5,27.0,47.8,4.814427024679443,4814.427024679443,26.736500000000035,-8.745750000000005,40.400000000000006,29.5,30.099999999999998,342.536,1000
-10.0,25.0,49.5,4.784645669489654,4784.645669489654,24.737500000000022,-10.245000000000008,33.5,33.2,33.300000000000004,355.782,1000
-9.0,26.5,48.3,4.77684752265974,4776.84752265974,26.236750000000043,-9.245500000000003,38.3,30.4,31.3,349.062,1000
-9.5,26.0,48.8,4.765094631128515,4765.094631128515,25.737000000000027,-9.745250000000004,36.1,31.3,32.6,355.539,1000
-7.5,29.0,44.800000000000004,4.754846187953475,4754.846187953474,28.735500000000037,-7.746250000000007,45.6,26.700000000000003,27.700000000000003,327.765,1000
-8.5,26.5,47.8,4.729750058608774,4729.7500586087735,26.236750000000043,-8.745750000000005,40.400000000000006,29.9,29.7,339.686,1000
-8.0,28.0,46.300000000000004,4.7250879135593316,4725.087913559331,27.73600000000003,-8.246000000000006,43.3,27.900000000000002,28.799999999999997,333.61,1000
-10.0,24.5,49.5,4.722089561125445,4722.0895611254455,24.23775000000004,-10.245000000000008,33.5,33.900000000000006,32.6,350.737,1000
-7.0,30.0,42.9,4.707095578873812,4707.095578873812,29.735000000000035,-7.246500000000017,48.3,25.4,26.3,318.513,1000
-9.5,25.5,48.8,4.695818991533537,4695.818991533537,25.237250000000024,-9.745250000000004,36.1,31.8,32.1,351.134,1000
-9.0,26.0,48.3,4.69274826979028,4692.74826979028,25.737000000000027,-9.245500000000003,38.3,30.8,30.9,345.992,1000
-8.5,26.0,47.8,4.648149555739313,4648.149555739314,25.737000000000027,-8.745750000000005,40.400000000000006,30.3,29.299999999999997,336.636,1000
-9.5,25.0,48.8,4.648095044007595,4648.095044007596,24.737500000000022,-9.745250000000004,36.1,32.5,31.4,347.386,1000
-7.5,28.5,44.800000000000004,4.641223788912972,4641.223788912972,28.23575000000002,-7.746250000000007,45.6,26.8,27.6,325.2,1000
-9.0,25.5,48.3,4.6259713801953,4625.9713801953,25.237250000000024,-9.245500000000003,38.3,31.3,30.4,341.629,1000
-8.0,27.5,46.300000000000004,4.603399860144338,4603.399860144338,27.23625000000002,-8.246000000000006,43.3,28.000000000000004,28.7,330.661,1000
-9.5,24.5,48.8,4.589037185643386,4589.037185643387,24.23775000000004,-9.745250000000004,36.1,33.2,30.7,342.344,1000
-8.5,25.5,47.8,4.583871416144334,4583.871416144334,25.237250000000024,-8.745750000000005,40.400000000000006,30.8,28.799999999999997,332.281,1000
-10.0,24.0,49.5,4.58159380708486,4581.59380708486,23.738000000000028,-10.245000000000008,33.5,34.1,32.4,348.33,1000
